OBJECTID,COMID_NHDv,HUC6,NT_Taxa,GNIS_NAME
11351,6887210,50500,1,
35393,10477043,30102,2,
1985,1086853,50702,1,
11371,6887540,50500,1,
15841,8522735,20802,1,
35331,10473465,30102,5,
15301,8505304,20801,1,
16741,8545825,20802,1,
59890,166737184,30101,1,
35746,10482319,30102,1,
35420,10477613,30102,1,
21022,8719129,30102,1,
39800,11582936,30102,1,
11091,6885610,50500,2,
11148,6885988,50500,1,Mill Creek
15529,8508148,20801,1,
39882,11584796,30102,1,
16167,8525455,20802,1,
15469,8507196,20801,1,
34052,10232723,20801,1,
56251,19762914,60101,3,
15399,8506270,20801,1,
56018,19761646,60101,1,
30524,9252980,30401,1,
35758,10482437,30102,1,
15849,8522793,20802,3,
21223,8724067,30102,1,
15699,8521859,20802,3,
42800,12058652,20403,1,
35852,10484605,30102,1,
15920,8523171,20802,2,
9178,4529707,20700,1,
8934,4507588,20700,5,
14743,8476026,20801,1,
20665,8696643,30101,1,
19383,8657610,30101,1,
15398,8506254,20801,2,
16136,8525259,20802,1,
15767,8522299,20802,1,
19429,8658236,30101,1,
19426,8658170,30101,1,
11379,6887608,50500,2,
16144,8525313,20802,1,
21125,8720459,30102,1,
2005,1086999,50702,1,
59887,166737161,30101,1,
20703,8699221,30101,1,
17761,8610831,20802,1,
2009,1087071,50702,1,
21853,8745673,30102,2,
5527,3357812,30201,1,
21209,8724001,30102,1,
18347,8627625,30101,1,
35332,10473495,30102,1,
59322,22340103,20700,1,
16125,8525157,20802,2,
11243,6886614,50500,2,
15397,8506252,20801,1,
17169,8552647,20802,1,
15229,8503240,20801,1,
15291,8505204,20801,1,
19162,8650942,30101,1,
17034,8549439,20802,2,
20666,8696647,30101,1,
35287,10462331,30102,1,
18747,8631171,30101,1,
10385,5892844,20700,1,
15887,8523025,20802,1,
39786,11582420,30102,1,
19185,8651224,30101,1,
14885,8477780,20801,1,
19183,8651192,30101,1,
20964,8713069,30101,1,
21195,8723891,30102,1,
35414,10477427,30102,1,
21226,8724083,30102,1,
11381,6887638,50500,1,
17311,8572585,20802,1,
13853,8413075,20403,1,
32107,10053990,20802,1,
16839,8547091,20802,1,
17117,8550993,20802,6,
42777,12050310,30101,1,
15237,8503322,20801,1,
20050,8677207,30101,1,
18923,8632277,30101,1,
35350,10474989,30102,1,
19206,8651508,30101,4,
30448,9252082,30401,1,
175,437548,50702,1,
15735,8522101,20802,2,
18706,8629325,30101,1,
42756,12050110,30101,1,
16593,8539827,20802,1,
20668,8696737,30101,1,
21448,8726133,30102,1,
13967,8423544,20700,2,
14010,8432070,20700,1,
9145,4529161,20700,1,
32311,10066415,20802,1,
17834,8611681,20802,2,
17128,8551363,20802,1,
21801,8745369,30102,1,
32326,10066611,20802,1,
17186,8566449,20802,1,
18940,8632375,30101,2,
42799,12058636,20403,1,
35857,10484631,30102,2,
19249,8652452,30101,1,Lick Branch
15790,8522471,20802,4,
35853,10484611,30102,1,
19148,8650818,30101,1,
32064,9891812,20801,1,
15231,8503252,20801,2,
15220,8503168,20801,1,
16085,8524863,20802,4,
19152,8650854,30101,2,
13945,8423208,20700,1,
17369,8573213,20802,3,
19740,8673859,30101,1,
42711,12049286,30101,1,
29818,9245900,30401,1,
13943,8423158,20700,1,Knotmaul Run
115,436080,50702,1,
19408,8657830,30101,1,Crooked Run
19794,8674347,30101,1,
11084,6885548,50500,2,
12102,6907203,50500,1,
11666,6889876,50500,1,
13929,8422752,20700,1,
18275,8626939,30101,1,
42792,12056282,20403,1,
9199,4531367,20700,5,Walnut Hill Run
21462,8726591,30102,1,
20870,8710877,30101,2,
14061,8440215,20700,1,Indian Run
30034,9248280,30401,1,
18279,8626955,30101,1,
32100,10053318,20802,2,
32322,10066559,20802,1,
94,435792,50702,1,
12074,6906313,50500,1,
9279,4536133,20700,1,
15222,8503180,20801,1,
55597,19751737,60101,1,
15436,8506610,20801,2,
16035,8524501,20802,2,
10600,5908051,20700,1,
17394,8573525,20802,10,
45963,14637549,60102,1,
20498,8693589,30101,1,
18307,8627235,30101,1,
30131,9249900,30401,1,
12072,6906277,50500,1,
15254,8503808,20801,2,
16127,8525175,20802,1,
8712,4505584,20700,1,
9005,4508916,20700,1,
19328,8653300,30101,1,
19427,8658190,30101,1,
32057,9891292,20801,1,
8950,4508490,20700,1,
21460,8726515,30102,4,
15217,8503152,20801,3,
14480,8465485,20801,1,
17429,8574711,20802,1,
16034,8524497,20802,1,
15384,8506112,20801,1,
59305,22339921,20700,1,
20434,8680117,30101,1,Long Branch
9149,4529173,20700,1,
15047,8491034,20801,1,
17041,8549479,20802,1,
18705,8629323,30101,2,
19163,8650962,30101,1,Little Childrey Creek
35346,10474855,30102,1,
35069,10460271,30102,2,
11629,6889702,50500,1,
16212,8526193,20802,1,
17168,8552603,20802,1,
32153,10055980,20802,1,
16377,8527049,20802,1,
11778,6891072,50500,1,
19425,8658054,30101,1,
19527,8672185,30101,1,
35745,10482317,30102,1,
14886,8477788,20801,1,
18856,8631633,30101,3,
15540,8514432,20801,2,
15859,8522861,20802,1,
20492,8693455,30101,1,
10536,5896170,20700,3,
32121,10054604,20802,2,
18720,8630939,30101,3,
18715,8630877,30101,1,
14172,8441345,20700,1,
20909,8711967,30101,1,
30274,9250882,30401,1,
15357,8505902,20801,1,
16168,8525457,20802,2,
15958,8523363,20802,1,
21816,8745487,30102,1,
14379,8458148,20801,1,Long Creek
30073,9248864,30401,1,
15116,8493802,20801,3,
32094,9897234,20801,1,
18229,8626677,30101,4,
8825,4506652,20700,1,
15949,8523323,20802,1,
21352,8725355,30102,1,
20479,8693241,30101,2,
18245,8626805,30101,5,Cedar Branch
18515,8628539,30101,1,
39899,11584972,30102,1,
16391,8527113,20802,2,
18063,8625165,30101,1,
15463,8507116,20801,1,
16189,8526017,20802,1,
10384,5892822,20700,1,
11012,6885114,50500,1,
16079,8524817,20802,1,
19085,8649042,30101,5,
35402,10477177,30102,2,Jean Guite Creek
19630,8672899,30101,2,
19107,8649420,30101,1,
20557,8695431,30101,1,
55636,19751965,60101,1,
19776,8674281,30101,1,
15236,8503318,20801,1,
19739,8673811,30101,2,Grassy Fork
14189,8444802,20700,17,
18284,8627027,30101,2,
59299,22339839,20700,1,
18156,8626093,30101,1,
20912,8712003,30101,1,
30012,9247988,30401,1,
18415,8628171,30101,1,
56064,19761850,60101,3,
18466,8628361,30101,2,
19589,8672569,30101,1,
13851,8413013,20403,1,
16348,8526943,20802,3,
55790,19753485,60101,1,
15756,8522203,20802,1,
17289,8568227,20802,3,
19777,8674287,30101,1,
30049,9248460,30401,1,
15381,8506100,20801,1,
10378,5892422,20700,1,
39845,11583446,30102,1,
16959,8548729,20802,1,
8866,4506924,20700,2,
12263,6908391,50500,1,
11470,6888468,50500,1,
19047,8648520,30101,1,
19756,8674169,30101,1,Little Beards Creek
20173,8677873,30101,1,Fishing Creek
9277,4535997,20700,1,
10891,6883870,50500,3,
18233,8626715,30101,1,
15740,8522131,20802,1,
18544,8628649,30101,2,
32307,10066335,20802,1,
11570,6889282,50500,1,
20636,8696159,30101,1,
16671,8544533,20802,1,
8940,4508388,20700,4,
9226,4533725,20700,1,
16661,8544433,20802,1,Mallory Creek
19512,8672097,30101,1,Mill Creek
20267,8678911,30101,3,
12051,6905969,50500,1,
12200,6907927,50500,1,
15225,8503218,20801,3,
19723,8673559,30101,6,
21539,8740977,30102,1,Flat Branch
55920,19761016,60101,3,
15223,8503188,20801,1,
13915,8422232,20700,1,
20298,8679083,30101,1,
15631,8521285,20802,1,
21286,8724617,30102,1,
14893,8477908,20801,1,
55855,19754235,60101,1,
15375,8506072,20801,1,
18818,8631479,30101,2,
19049,8648550,30101,1,
20951,8712627,30101,1,
55921,19761018,60101,2,
15031,8490460,20801,1,
20566,8695507,30101,1,
16326,8526873,20802,4,
18552,8628683,30101,1,
21150,8723531,30102,1,
16256,8526571,20802,1,
19398,8657722,30101,1,
13854,8413091,20403,1,
59132,22338611,20700,1,
32062,9891662,20801,1,
12288,6908521,50500,2,
42650,12048574,30101,1,
18251,8626839,30101,1,
21440,8726051,30102,3,
32122,10054610,20802,3,
45866,14363980,20700,1,Waters Run
13889,8420688,20700,1,
16350,8526949,20802,1,
10339,5890728,20700,1,
20520,8694959,30101,2,
15744,8522143,20802,1,
15390,8506148,20801,1,
19624,8672853,30101,1,Stillhouse Run
20950,8712623,30101,2,
19096,8649326,30101,1,
19367,8657436,30101,1,
20890,8711791,30101,1,
16783,8546337,20802,1,
20892,8711815,30101,2,
35468,10478419,30102,1,
18782,8631311,30101,2,
20343,8679453,30101,1,
