OBJECTID,COMID_NHDv2,HUC6,NT_Taxa,GNIS_NAME,Jan_Flow_cfs,Feb_Flow_cfs,Mar_Flow_cfs,Apr_Flow_cfs,May_Flow_cfs,Jun_Flow_cfs,Jul_Flow_cfs,Aug_Flow_cfs,Sep_Flow_cfs,Oct_Flow_cfs,Nov_Flow_cfs,Dec_Flow_cfs,MA_Flow_cfs,StreamOrder,HUC8
8924,4507448,20700,46,Potomac River,14744.505,17660.36,23015.969,19534.501,15297.815,10164.437,5511.532,4676.542,5757.75,7001.087,8861.925,12526.47,11917.045,7,2070008
59545,22539898,60102,46,Powell River,1183.282,1267.027,1327.68,1056.863,849.231,470.755,274.358,237.997,171.086,230.518,483.704,871.919,700.423,5,6010206
59754,24830456,60102,45,Clinch River,2126.201,2384.574,2553.662,2025.403,1660.835,1025.344,647.361,475.094,331.609,442.049,769.974,1458.972,1333.696,5,6010205
59588,22540038,60102,43,Powell River,1356.995,1445.815,1527.775,1215.044,972.139,543.174,320.577,269.024,185.654,240.572,532.998,995.525,799.491,5,6010206
35825,10484259,30102,43,,138.035,136.547,145.343,99.908,59.507,49.412,47.857,54.848,56.946,99.161,105.59,99.356,86.392,1,3010205
12173,6907783,50500,39,East River,214.896,319.713,205.932,122.141,90.402,54.861,34.364,24.899,23.504,22.259,45.627,105.55,82.333,4,5050002
59527,22539818,60102,38,Powell River,960.425,1047.602,1080.976,854.556,693.836,379.762,217.156,197.815,151.567,206.604,409.831,715.248,574.04,5,6010206
12318,6908719,50500,36,New River,5920.192,6922.419,8544.387,7852.124,6702.952,5136.824,3903.506,2958.539,2792.107,3272.139,4055.143,4657.107,5246.824,6,5050002
46390,14640597,60102,36,Clinch River,2735.298,3043.114,3126.426,2524.254,2211.284,1254.476,793.989,564.803,375.012,473.672,910.235,2157.285,1720.29,5,6010205
15026,8490258,20801,35,Matta River,195.747,268.273,269.524,90.038,52.216,37.072,24.016,19.53,22.704,24.001,43.974,98.728,63.664,4,2080105
8898,4507216,20700,35,,12.888,27.068,21.036,3.974,2.951,1.677,1.044,1.568,2.299,2.465,2.842,3.642,2.632,1,2070008
12321,6908739,50500,34,New River,5640.153,6657.034,7962.338,7262.313,6198.374,4864.997,3764.351,2859.576,2713.52,3144.984,3859.773,4367.11,4923.491,6,5050002
45855,14363600,20700,34,North Branch Potomac River,1133.943,1569.326,2034.702,1642.769,1212.968,844.874,482.991,387.072,418.823,642.55,689.974,1372.406,1039.689,5,2070002
10395,5893018,20700,34,Back Creek,511.097,608.866,716.324,375.449,216.841,146.254,77.862,71.728,70.384,70.736,148.043,354.512,246.529,4,2070004
46385,14640577,60102,33,Clinch River,2676.083,2979.869,3062.284,2472.124,2166.764,1229.701,777.981,555.07,370.706,471.41,896.168,2109.997,1686.013,5,6010205
59747,24830402,60102,33,Clinch River,1877.478,2116.456,2236.344,1773.106,1437.992,893.697,555.714,420.412,295.75,407.565,683.738,1262.237,1168.483,5,6010205
59994,166997559,60102,32,Clinch River,1416.99,1630.746,1687.572,1337.15,1074.224,672.062,407.782,326.713,237.794,338.019,523.627,918.903,879.843,5,6010205
14016,8432384,20700,32,Cacapon River,788.568,927.168,1162.828,625.429,392.356,253.339,135.241,119.84,125.334,213.997,367.984,660.586,447.097,4,2070003
20926,8712309,30101,32,Banister River,246.004,263.662,295.012,249.976,167.224,125.83,97.212,88.538,99.107,82.543,154.17,180.767,169.92,4,3010105
