hcode,hydrocode,varname,propval,proptext,propname,propcode,entity_type
,6887210,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10477043,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,1086853,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6887540,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8522735,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10473465,aqbio_nt_total_icthy,5,,aqbio_nt_total_icthy,,dh_feature
,8505304,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8545825,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,166737184,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10482319,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10477613,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8719129,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,11582936,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6885610,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,6885988,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8508148,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,11584796,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8525455,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8507196,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10232723,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,19762914,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8506270,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,19761646,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9252980,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10482437,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8522793,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8724067,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8521859,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,12058652,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10484605,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8523171,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,4529707,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
